repo,tier,issue_idx,role,title,body,ground_truth,n_files,file_type
gpt-engineer,small,18,multi,gpt-engineer doesn't respect the COLLECT_LEARNINGS_OPT_OUT=true env variable,"## Policy and info
 - Maintainers will close issues that have been stale for 14 days if they contain relevant answers.
 - Adding the label ""sweep"" will automatically turn the issue into a coded pull request. Works best for mechanical tasks. More info/syntax at: https://docs.sweep.dev/

## Expected Behavior

When setting the environment variable COLLECT_LEARNINGS_OPT_OUT=true, no information should be transmitted back to the gpt-engineer developer.

## Current Behavior

Based on viewing the verbose execution output, it's clear that even with that environment variable set, information was transmitted back to the developer. On inspecting the consent methods, such as https://github.com/AntonOsika/gpt-engineer/blob/main/gpt_engineer/cli/learning.py#L172, it's clear that the environment variable is never referenced.

This is highly undesirable, considering that this is the mechanism for opting out of data collection described in the terms of use - https://github.com/AntonOsika/gpt-engineer/blob/main/TERMS_OF_USE.md.

## Failure Information

I've already transmitted too much information to the developer, and don't feel comfortable adding anything more.
","['gpt_engineer/cli/learning.py', 'gpt_engineer/cli/main.py']",2,multi
gpt-engineer,small,27,flexible,"RuntimeError: ('Message exceeds %skb limit. (%s)', AFTER it asks me to run the code","I am running a quite complex prompt to create a python app with a PSQL DB backend. I already have the whole DB schema ready and pasted it into the prompt. 

## Expected Behavior

the app is created according to my prompt.

## Current Behavior
Only a part of the files are created, then it asks me to run the code which fails for non-related reasons and then shows the error message""
RuntimeError: ('Message exceeds %skb limit. (%s)', '32', '{\'integrations\': {\'All\': True}, \'anonymousId\': None, \'properties\': {\'model\': \'gpt-3.5-turbo\', \'temperature\': 0.1, \'steps\': \'[""clarify"", ""gen_clarified_code"", ""gen_entrypoint"", ""execute_entrypoint"", ""human_review""]\', \'steps_file_hash\': \'\', \'prompt\' 
REMAINING OUTPUT of gpt engineer. 


Error seems to be in the analytics page

  File ""/home/stefan/.local/bin/gpt-engineer"", line 8, in <module>
    sys.exit(app())
             ^^^^^

  File ""/home//code/gpt-engineer/gpt_engineer/main.py"", line 61, in main
    collect_learnings(model, temperature, steps, dbs)

  File ""/home/code/gpt-engineer/gpt_engineer/collect.py"", line 28, in collect_learnings
    send_learning(learnings)

  File ""/home/code/gpt-engineer/gpt_engineer/collect.py"", line 17, in send_learning
    rudder_analytics.track(

  File ""/home/.local/lib/python3.11/site-packages/rudderstack/analytics/__init__.py"", line 53, in track
    _proxy('track', *args, **kwargs)

  File ""/home/.local/lib/python3.11/site-packages/rudderstack/analytics/__init__.py"", line 113, in _proxy
    fn(*args, **kwargs)

  File ""/home/.local/lib/python3.11/site-packages/rudderstack/analytics/client.py"", line 141, in track
    return self._enqueue(msg)
           ^^^^^^^^^^^^^^^^^^

  File ""/home/.local/lib/python3.11/site-packages/rudderstack/analytics/client.py"", line 279, in _enqueue
    raise RuntimeError('Message exceeds %skb limit. (%s)', str(int(MAX_MSG_SIZE / 1024)), str(msg))


UPDATE: confirmed related to Rudderstack, does not happen when you opt out 
",['gpt_engineer/collect.py'],1,single
Deep-Live-Cam,small,1,single,Indentation Error,"Just updated after the changes to the face enhancer and I'm getting this error whenever I try to turn it on.
I'm not smart enough to know what this is but I'm hoping this helps someone figure it out!
```IndentationError: unindent does not match any outer indentation level
Exception in Tkinter callback
Traceback (most recent call last):
  File ""C:\Python310\lib\tkinter\__init__.py"", line 1921, in __call__
    return self.func(*args)
  File ""C:\Python310\lib\site-packages\customtkinter\windows\widgets\ctk_switch.py"", line 413, in toggle
    self._command()
  File ""D:\Software\Deep-Live-Cam\modules\ui.py"", line 205, in <lambda>
    update_tumbler(""face_enhancer"", enhancer_value.get()),
  File ""D:\Software\Deep-Live-Cam\modules\ui.py"", line 561, in update_tumbler
    frame_processors = get_frame_processors_modules(
  File ""D:\Software\Deep-Live-Cam\modules\processors\frame\core.py"", line 40, in get_frame_processors_modules
    set_frame_processors_modules_from_ui(frame_proces",['modules/processors/frame/face_enhancer.py'],1,single
Deep-Live-Cam,small,11,multi,Program crashes when processing with DirectML,"I am using an AMD RX 6600 XT GPU with the latest drivers and attempting to run the program with DirectML. The program's UI turns white and then crashes. It works fine with CPU execution but fails with DirectML.
I already tried to reinstall onnxruntime-directml with no effect. Terminal:

 (myenv) E:\Edesktop\deep-live\Deep-Live-Cam>python run.py --execution-provider dml
Applied providers: ['DmlExecutionProvider', 'CPUExecutionProvider'], with options: {'DmlExecutionProvider': {}, 'CPUExecutionProvider': {}}
find model: C:\Users\USER/.insightface\models\buffalo_l\1k3d68.onnx landmark_3d_68 ['None', 3, 192, 192] 0.0 1.0
Applied providers: ['DmlExecutionProvider', 'CPUExecutionProvider'], with options: {'DmlExecutionProvider': {}, 'CPUExecutionProvider': {}}
find model: C:\Users\USER/.insightface\models\buffalo_l\2d106det.onnx landmark_2d_106 ['None', 3, 192, 192] 0.0 1.0
Applied providers: ['DmlExecutionProvider', 'CPUExecutionProvider'], with options: {'DmlExecutionProvider': {},","['modules/ui.py', 'modules/core.py']",2,multi
Deep-Live-Cam,small,0,flexible,The app starts transparent!,"Seems like everything was ok with the install.

When I run I get the error: / warning:

```
> python run.py --execution-provider cuda
Exception in Tkinter callback
Traceback (most recent call last):
  File ""C:\Users\dulci\.pyenv\pyenv-win\versions\3.10.6\lib\tkinter\__init__.py"", line 1921, in __call__
    return self.func(*args)
  File ""C:\Users\dulci\.pyenv\pyenv-win\versions\3.10.6\lib\tkinter\__init__.py"", line 839, in callit
    func(*args)
  File ""C:\Users\dulci\Documents\Development\Deep-Live-Cam\.venv\lib\site-packages\customtkinter\windows\widgets\scaling\scaling_tracker.py"", line 
186, in check_dpi_scaling
    window.block_update_dimensions_event()
  File ""C:\Users\dulci\.pyenv\pyenv-win\versions\3.10.6\lib\tkinter\__init__.py"", line 2383, in __getattr__
    return getattr(self.tk, attr)
AttributeError: '_tkinter.tkapp' object has no attribute 'block_update_dimensions_event'
(.venv) PS C:\Users\dulci\Documents\Development\Deep-Live-Cam>
``` 

And the appl",['modules/ui.py'],1,single
scrapy,medium,42,single,Extraction of gzipped sitemap fails in Scrapy 0.24.4,"retrieving a gzipped sitemap xml (tested on amazon.de) fails.

Reproduce with :
modify /utils/gz.py gunzip method to write the incoming data to a file.

gunzip the file on the command line.

the unzipped file contains garbled content

gunzip that file with garbled content a second time and get the correct content

-> I suspect that the content coming from the target server is already gzip compressed and scrapy has a bug that causes the gzip decompression to not work properly, resulting in a double compressed file arriving at the  /utils/gz.py gunzip method  
",['scrapy/utils/gz.py'],1,single
scrapy,medium,3,multi,Can I get remote server's ip address via response?,"Can I get remote server's ip address via response?
For some reason. I'll need get remote site's ip address when parsing response. I looked the document but found nothing.
Any one know that?
Thanks!","['scrapy/http/response/__init__.py', 'scrapy/core/downloader/handlers/http11.py', 'scrapy/core/downloader/__init__.py', 'tests/mockserver.py', 'conftest.py']",5,multi
scrapy,medium,2,flexible,get_func_args maximum recursion,"https://github.com/scrapy/scrapy/blob/master/scrapy/utils/python.py#L149

Today I was working on a project were I have to skip the first item of a list, and then join the rest. Instead of writing the typical slice I tried something much more good looking `Compose(itemgetter(slice(1, None)), Join())` but I found out this maximum recursion. I did some research and ask @dangra about it, but nothing came up.
I think the main problem is that `inspect` isn't able recognize `itemgetter` as `something`.

``` python
>>> inspect.getmembers(itemgetter(2))
[('__call__',
  <method-wrapper '__call__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__class__', <type 'operator.itemgetter'>),
 ('__delattr__',
  <method-wrapper '__delattr__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__doc__',
  'itemgetter(item, ...) --> itemgetter object\n\nReturn a callable object that fetches the given item(s) from its operand.\nAfter, f=itemgetter(2), the call f(r) returns r[2].\nAfter, g=itemgetter(2,5,3), the call g(r) returns (r[2], r[5], r[3])'),
 ('__format__',
  <built-in method __format__ of operator.itemgetter object at 0x7f79aeffb990>),
 ('__getattribute__',
  <method-wrapper '__getattribute__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__hash__',
  <method-wrapper '__hash__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__init__',
  <method-wrapper '__init__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__new__', <built-in method __new__ of type object at 0x8c1ec0>),
 ('__reduce__',
  <built-in method __reduce__ of operator.itemgetter object at 0x7f79aeffb990>),
 ('__reduce_ex__',
  <built-in method __reduce_ex__ of operator.itemgetter object at 0x7f79aeffb990>),
 ('__repr__',
  <method-wrapper '__repr__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__setattr__',
  <method-wrapper '__setattr__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__sizeof__',
  <built-in method __sizeof__ of operator.itemgetter object at 0x7f79aeffb990>),
 ('__str__',
  <method-wrapper '__str__' of operator.itemgetter object at 0x7f79aeffb990>),
 ('__subclasshook__',
  <built-in method __subclasshook__ of type object at 0x8c1ec0>)]
>>> inspect.getargspec(itemgetter(2).__call__)
Traceback (most recent call last):
  File ""<console>"", line 1, in <module>
  File ""/usr/lib/python2.7/inspect.py"", line 815, in getargspec
    raise TypeError('{!r} is not a Python function'.format(func))
TypeError: <method-wrapper '__call__' of operator.itemgetter object at 0xb3ddd0> is not a Python function
>>> inspect.getargspec(itemgetter(slice(None, 2)).__init__)
Traceback (most recent call last):
  File ""<console>"", line 1, in <module>
  File ""/usr/lib/python2.7/inspect.py"", line 815, in getargspec
    raise TypeError('{!r} is not a Python function'.format(func))
TypeError: <method-wrapper '__init__' of operator.itemgetter object at 0xb3de10> is not a Python function
```

EDIT: Looks like the reason was C functions weren't covered by inspect module until Python 3.4 (http://bugs.python.org/issue17481)
",['scrapy/utils/python.py'],1,single
rich,medium,2,single,[BUG] printing -\n- in rich.progress context manager will kill the jupyter.,"try this code in the jupyter notebook:

```python
from rich.progress import Progress
with Progress() as progress:
    print(""-\n-"")
print(""finished"")
```
and it will show a popup message displaying that the kernel has died.
I have tested it on google colab and mint.

also, I have installed rich using
```
pip install rich[jupyter]
```",['rich/file_proxy.py'],1,single
rich,medium,6,multi,Drop Python 3.6 as a supported version of Python,"Time to drop Python 3.6 as a version of Python supported by Rich. The reasons for doing so include:

- Python 3.6 [reached end-of-life on 2021-12-03](https://devguide.python.org/versions/)
- The Poetry installer used for our GitHub actions [recently dropped 3.6](https://github.com/python-poetry/install.python-poetry.org).

Actions to take include:

- [x] Consider the significance of [this TODO in `_null_file.py`](https://github.com/Textualize/rich/blob/84e628655a2981ee90413ca3f35001ec3954161d/rich/_null_file.py#L7).
- [x] Drop `dataclasses` as a dependency.
- [x] Look at dropping [the special-casing of `isascii` in `rule.py`](https://github.com/Textualize/rich/blob/84e628655a2981ee90413ca3f35001ec3954161d/rich/rule.py#L54).
- [x] Drop Python 3.6 from `pythonpackage.yml`.
- [x] Drop mention of Python 3.6 in `pyproject.toml` -> `[tool.poetry]` -> `classifiers`.
- [x] Bump the major version of Rich.
- [x] Update the `Compatibility` section of `README.md` (and all translations).
","['rich/highlighter.py', 'rich/rule.py', 'rich/_null_file.py']",3,multi
rich,medium,1,flexible,[BUG] Databricks is not identified as Jupyter,"You may find a solution to your problem in the [docs](https://rich.readthedocs.io/en/latest/introduction.html) or [issues](https://github.com/willmcgugan/rich/issues).

**Describe the bug**

Databricks is not considered as ""Jupyter"", therefore `JUPYTER_LINES` and `JUPYTER_COLUMNS` has no effect on the console log

Provide a minimal code example that demonstrates the issue if you can. If the issue is visual in nature, consider posting a screenshot.

Databricks has a Ipython type `InteractiveShell` which is neither `Ipython` or `ZMQInteractiveShell`

![image](https://user-images.githubusercontent.com/18221871/181251880-531dbfc5-0f35-44ba-a1c2-c07e0a075cc7.png)


```python
def _is_jupyter() -> bool:  # pragma: no cover
    """"""Check if we're running in a Jupyter notebook.""""""
    try:
        get_ipython  # type: ignore[name-defined]
    except NameError:
        return False
    ipython = get_ipython()  # type: ignore[name-defined]
    shell = ipython.__class__.__name__
    if ""google.colab"" in str(ipython.__class__) or shell == ""ZMQInteractiveShell"":
        return True  # Jupyter notebook or qtconsole
    elif shell == ""TerminalInteractiveShell"":
        return False  # Terminal running IPython
    else:
        return False  # Other type (?)
```

If you're using Rich in a terminal:

```
python -m rich.diagnose
pip freeze | grep rich
```

If you're using Rich in a Jupyter Notebook, run the following snippet in a cell
and paste the output in your bug report.

```python
from rich.diagnose import report
report()
```

```
╭────────────────────── <class 'rich.console.Console'> ───────────────────────╮
│ A high level console interface.                                             │
│                                                                             │
│ ╭─────────────────────────────────────────────────────────────────────────╮ │
│ │ <console width=80 None>                                                 │ │
│ ╰─────────────────────────────────────────────────────────────────────────╯ │
│                                                                             │
│     color_system = None                                                     │
│         encoding = 'utf-8'                                                  │
│             file = <PythonShellImpl.ConsoleBuffer object at 0x7f462b809970> │
│           height = 25                                                       │
│    is_alt_screen = False                                                    │
│ is_dumb_terminal = False                                                    │
│   is_interactive = False                                                    │
│       is_jupyter = False                                                    │
│      is_terminal = False                                                    │
│   legacy_windows = False                                                    │
│         no_color = False                                                    │
│          options = ConsoleOptions(                                          │
│                        size=ConsoleDimensions(width=80, height=25),         │
│                        legacy_windows=False,                                │
│                        min_width=1,                                         │
│                        max_width=80,                                        │
│                        is_terminal=False,                                   │
│                        encoding='utf-8',                                    │
│                        max_height=25,                                       │
│                        justify=None,                                        │
│                        overflow=None,                                       │
│                        no_wrap=False,                                       │
│                        highlight=None,                                      │
│                        markup=None,                                         │
│                        height=None                                          │
│                    )                                                        │
│            quiet = False                                                    │
│           record = False                                                    │
│         safe_box = True                                                     │
│             size = ConsoleDimensions(width=80, height=25)                   │
│        soft_wrap = False                                                    │
│           stderr = False                                                    │
│            style = None                                                     │
│         tab_size = 8                                                        │
│            width = 80                                                       │
╰─────────────────────────────────────────────────────────────────────────────╯
╭─── <class 'rich._windows.WindowsConsoleFeatures'> ────╮
│ Windows features available.                           │
│                                                       │
│ ╭───────────────────────────────────────────────────╮ │
│ │ WindowsConsoleFeatures(vt=False, truecolor=False) │ │
│ ╰───────────────────────────────────────────────────╯ │
│                                                       │
│ truecolor = False                                     │
│        vt = False                                     │
╰───────────────────────────────────────────────────────╯
╭────── Environment Variables ───────╮
│ {                                  │
│     'TERM': 'unknown',             │
│     'COLORTERM': None,             │
│     'CLICOLOR': None,              │
│     'NO_COLOR': None,              │
│     'TERM_PROGRAM': None,          │
│     'COLUMNS': None,               │
│     'LINES': None,                 │
│     'JUPYTER_COLUMNS': '200',      │
│     'JUPYTER_LINES': '50',         │
│     'JPY_PARENT_PID': None,        │
│     'VSCODE_VERBOSE_LOGGING': None │
│ }                                  │
╰────────────────────────────────────╯
platform=""Linux""
```

</details>
",['rich/console.py'],1,single
fastapi,medium,13,single,be able to host statics myself,"**Is your feature request related to a problem? Please describe.**
I am using FastAPI on my private network and can't connect to the internet. but the `/docs` use cdn. I cannot visit that page. 

Although I can rewrite /docs router to replace the html template , and add a /staitc route , but I feel a bit ugly. I wish there is some config for it.

**Describe the solution you'd like**

add two variable for FastAPI
```
api = FastAPI(static_prefix=""/statics"", static_url=""/data/swagger-dist/"")
```
with static_prefix=""/statics"", the /docs html may look like:
```html
<link type=""text/css"" rel=""stylesheet"" href=""/statics/swagger-ui.css"">
```

with static_url=""/data/swagger-dist/"" , FastAPI will add router for static_prefix automatically, like 
```python
self.router.get(self.static_prefix, response_description=PlainTextResponse, ...)
```

**Describe alternatives you've considered**
If you don't want to handle statics, just ignore ``static_url`` , I can create it myself, or put it behind nginx.

If do so, you may need to write in the document how to download all static files .

**Additional context**

",['fastapi/openapi/docs.py'],1,single
fastapi,medium,5,multi,Nesting FastAPI instances doesn't work very well,"Do this:

    main_app = FastAPI()
    sub_api = FastAPI()

    ...
    main_app.router.routes.append(Mount('/subapi', app=sub_api))

`sub_api` will correctly serve ever `/subapi` -- docs, methods, all that. However, the docs will still look for `/openapi.json` (absolute link) when trying to load the openapi spec. Additionally, the spec will not be adjusted to have the correct links, relative to where the module is mounted.

Perhaps this is a corner use case, but a lot of apps might have different collections of routes mounted in different subpaths.","['fastapi/openapi/utils.py', 'fastapi/applications.py']",2,multi
