repo,tier,issue_idx,base_commit,commit_date,python_loc,n_source_files,file_type,body_len,title,source_files
thefuck,small,0,9660ec7813a0e77ec3411682b0084d07b540084e,2016-09-20,2983,1,single,599,Adding sudo works for `aura -Sy` but not `aura -Ay`,['thefuck/rules/sudo.py']
thefuck,small,1,3da26192cba7dbaa3109fc0454e658ec417aaf5f,2015-10-08,2280,1,single,137,feature request: replace history with corrected command.,['thefuck/shells.py']
thefuck,small,2,0949d2e77022ad69cc07d4b25a858a7e023503ac,2021-06-09,4846,1,single,3035,"git push upstream branch does not exist, wrong command recommended first",['thefuck/rules/git_hook_bypass.py']
thefuck,small,4,f0f49c1865162fd1eef9199ab895811846516ada,2016-01-13,2485,2,multi,189,Shell alias clobbers some history lines,"['thefuck/types.py', 'thefuck/conf.py']"
thefuck,small,5,fee874cddc1af36344e1cdaedd6d80eb6aea8341,2016-01-24,2497,1,single,479,Fuck alias for fish,['thefuck/shells.py']
thefuck,small,6,58ddd4338adf12a3abc2ffed0e27794a398fa8d2,2021-07-21,4908,1,single,1173,UnicodeDecodeError when using thefuck,['thefuck/output_readers/rerun.py']
thefuck,small,7,f966ecd4f5b8221ee15e843f5ec287e1f7cca940,2017-12-20,4117,1,single,498,wrong suggestion with git push --set-upstream ,['thefuck/rules/git_push.py']
thefuck,small,8,b28ece0f34e54d1c980e31223451f3b2f0f20ff9,2020-01-05,4725,1,single,335,Git checkout should provide multiple corrections,['thefuck/rules/git_checkout.py']
thefuck,small,9,2d81166213c403dce5c04d1fb73ba5d3e57d6676,2019-01-17,4452,1,single,9584,Slow execution time,['thefuck/shells/fish.py']
thefuck,small,10,6da0bc557f0fd94ea1397d3a7f508be896cc98d8,2021-04-21,4840,3,multi,1191,Trying rule missing_space_before_subcommand taking so long,"['thefuck/conf.py', 'thefuck/utils.py', 'thefuck/const.py']"
thefuck,small,12,622298549172754afff07a8ea1f55358062e17a7,2015-08-09,1881,1,single,91,"Add command options (--version, --help, --update/--upgrade)",['thefuck/main.py']
thefuck,small,14,070bb2ff28b108e5fc627efa1d95ded00ca067c8,2016-08-14,2961,1,single,694,Args are lost with git_push,['thefuck/rules/git_push.py']
thefuck,small,15,86efc6a252c39526c643ea3335db02c4621798e9,2018-05-22,4356,1,single,456,Cannot run fuck in zsh without export errors,['thefuck/shells/zsh.py']
thefuck,small,16,f700b23f5725e14f8ee6ffb0a5c44ab9eaf42b53,2018-01-02,4138,2,multi,1552,alias produces invalid code for fish as of 3.24,"['thefuck/shells/tcsh.py', 'thefuck/shells/fish.py']"
thefuck,small,18,f604756cb7639ab3efb1cd50c85e633a18cd9f9d,2016-03-21,2642,1,single,1637,werid behavior,['thefuck/system/win32.py']
thefuck,small,19,926e9ef963464075184f5c2e04ffdce9cb971997,2018-08-16,4377,1,single,1830,"Powershell, The term 'thefuck' is not recognized as the name of a cmdlet",['thefuck/shells/__init__.py']
thefuck,small,20,18992f246a84331832c399283ab930408db21d86,2017-09-27,3908,1,single,1050,"exception while ""run fuck second time for configuring it automatically.""",['thefuck/shells/fish.py']
thefuck,small,21,328e65179e8a886b44611850b908109868884c14,2015-07-09,1300,1,single,254,Should suggest 'git tag' when typing 'git tags' instead of 'git stage',['thefuck/rules/tmux.py']
thefuck,small,22,470c0ef699f31bba76445f18d7cbb289af388565,2016-02-12,2569,1,single,177,Windows - ImportError: No module named dbm,['thefuck/utils.py']
thefuck,small,23,d92765d5df6607cb2f2fb67cee7b63f64ac7aa6b,2016-03-10,2579,1,single,2043,UnicodeEncodeError on non-english systems,['thefuck/utils.py']
thefuck,small,25,6975d30818792f1b37de702fc93c66023c4c50d5,2020-04-06,4752,1,single,612,Thinks 'sl' is install python softlayer ,['thefuck/rules/sl_ls.py']
flask,small,0,cb94f4c5d3d4e1797207fd03d20d06c7bc0d05b4,2017-05-25,5666,1,single,534,Handle app factory in FLASK_APP,['flask/cli.py']
flask,small,1,85dce2c836fe03aefc07b7f4e0aec575e170f1cd,2021-04-12,6325,2,multi,807,Nestable blueprints,"['src/flask/blueprints.py', 'src/flask/app.py']"
flask,small,2,ee76129812419d473eb62434051e81d5855255b6,2012-09-22,7257,1,single,547,Misspelling in docs @ flask.Flask.handle_exception,['flask/app.py']
flask,small,3,07c7d5730a2685ef2281cc635e289685e5c3d478,2024-11-08,7328,1,single,1358,Allow flexible routing with SERVER_NAME config,['src/flask/app.py']
flask,small,4,024f0d384cf5bb65c76ac59f8ddce464b2dc2ca1,2020-04-04,6296,2,multi,233,Remove simplejson,"['src/flask/json/__init__.py', 'src/flask/json/tag.py']"
flask,small,5,6f2fdc5ac4ad869a21c4c0281d7fa1eb8aa5a689,2020-07-23,6306,1,single,1952,Returning Response and headers causes duplicate headers,['src/flask/app.py']
flask,small,6,fb89745408cc02515815c792355c7e883b2d08a4,2022-06-05,6819,1,single,2040,Flask.auto_find_instance_path() can return wrong path for namespace packages installed in development mode,['src/flask/scaffold.py']
flask,small,7,01081dbe6cdfa3fc43d8e1fff708d4ed95e1be7e,2016-09-19,5370,1,single,433,Implement RFC 7233,['flask/helpers.py']
flask,small,8,673e5af658cf029e82d87047dcb7ebee3d343d10,2018-06-13,6243,1,single,505,"Flask complains a .env file exists when not using python-dotenv, even though that .env is a directory",['flask/cli.py']
flask,small,9,8e589daaf2cec6a10262b8ff88801127f2fa14fd,2021-05-29,6822,1,single,715,`template_filter` decorator typing does not support custom filters with multiple arguments,['src/flask/typing.py']
flask,small,10,6ed68f015a50ab35b84a8ea71b0f846ca6a75281,2019-06-26,6337,1,single,1193,send_file doesn't urlencode ':/' in unicode attachment_filename,['flask/helpers.py']
flask,small,11,50b7dcbab343c93bb6738bbf116a177e72b1d9ec,2021-08-05,6848,1,single,3249,Harmless race condition in tutorial,['examples/tutorial/flaskr/auth.py']
flask,small,12,f17e6061fcffdc290f615d3fdc9d949e9e719574,2015-12-27,5258,1,single,1019,json_encoder not invoked from flask.jsonify,['flask/json.py']
flask,small,13,f808c20139649b747f604492bc33b61a7dd3e13a,2018-02-23,6074,1,single,620,Flask 1.0 backwards-incompat with double-slash/no-slash re. #2629,['flask/blueprints.py']
flask,small,14,22708b048d224a5590fa28d86ca02bac52294f90,2018-01-14,5900,1,single,726,add ssl_context option to `flask run`,['flask/cli.py']
flask,small,16,8cd0b03beeac4a41c398ea365475c651c484a9ee,2016-12-25,5394,1,single,356,config.from_pyfile crashes on Python 3 when source isn't encoded in default encoding,['flask/config.py']
flask,small,17,85fa8aabf5a7bd0adf204f0c2dacbba1fa6683de,2017-07-29,5875,2,multi,699,How should logging in Flask look like?,"['flask/logging.py', 'flask/app.py']"
flask,small,18,465da9f610a04d379bb39a0ff03fb6c0b0ea1c45,2019-07-01,6690,2,multi,1234,DispatcherMiddleware with different loggers per app in flask 1.0,"['src/flask/logging.py', 'src/flask/app.py']"
flask,small,19,c8cf4694c60f0d81809468a1b45ec730496cc546,2023-06-08,7033,2,multi,1469,Switch to importlib breaks scripts with `app.run()`,"['src/flask/helpers.py', 'src/flask/scaffold.py']"
flask,small,20,f88765d504ce2fa9bc3926c76910b11510522892,2014-10-26,5180,1,single,962,Starting up a public server.,['flask/views.py']
flask,small,21,2d8a21c7321a9ead8e27208b49a18f4b8b27e2c1,2013-08-13,8594,1,single,381,How to get the serialized version of the session cookie in 0.10?,['flask/sessions.py']
flask,small,24,1a7fd980f8579bd7d7d53c812a77c1dc64be52ba,2016-03-08,5271,1,single,563,JSONEncoder and aware datetimes,['flask/json.py']
gpt-engineer,small,2,65d7a9b9902ad85f27b17d759bd13b59c2afc474,2023-08-13,767,1,single,582,Please update README.md,['gpt_engineer/main.py']
gpt-engineer,small,3,4c77f62f806567644571b6b3f496f7b332b12327,2023-09-23,294,1,single,66,"Remove unnecessary configs such as: tdd, tdd_plus, clarify, respec",['gpt_engineer/steps.py']
gpt-engineer,small,4,65d7a9b9902ad85f27b17d759bd13b59c2afc474,2023-08-13,767,1,single,611,"""No API key provided"" - altough it is provided in the .env file",['gpt_engineer/main.py']
gpt-engineer,small,5,803eb82362278b755127649e9bb5f385639a23ca,2023-08-19,1219,5,multi,1618,Add numpy doc strings ,"['gpt_engineer/learning.py', 'gpt_engineer/db.py', 'gpt_engineer/chat_to_files.py', 'gpt_engineer/ai.py', 'gpt_engineer/collect.py']"
gpt-engineer,small,6,c4c1203fc07b2e23c3e5a5e9277266a711ab9466,2023-06-17,226,1,single,126,GPT Engineer will not save individual files when given specs that result in many files.,['gpt_engineer/chat_to_files.py']
gpt-engineer,small,7,2b8e056d5d4d14665b88a01c41356253c94b9259,2023-07-02,646,3,multi,147,Print and store how many tokens were used in memory/logs,"['gpt_engineer/ai.py', 'gpt_engineer/main.py', 'gpt_engineer/steps.py']"
gpt-engineer,small,9,3e589bf1356024fb471a9d17738e4626f21a953b,2024-06-06,4289,1,single,1389,Azure Deployment Name Bug,['gpt_engineer/core/ai.py']
gpt-engineer,small,10,c4c1203fc07b2e23c3e5a5e9277266a711ab9466,2023-06-17,226,1,single,481,.py files are not being created. I just get all_output.txt that I manually have to create from.,['gpt_engineer/chat_to_files.py']
gpt-engineer,small,11,7b91676a0c2ccd4589a42f2cadbf1e69f93ad81b,2024-05-04,4194,1,single,1415,Applying diffs failing silently ,['gpt_engineer/core/diff.py']
gpt-engineer,small,12,19446faaa12743f0a2f729a7beab0e561626f530,2024-02-13,3070,6,multi,3455,ValueError: Could not parse following text as code edit:,"['tests/caching_ai.py', 'gpt_engineer/applications/cli/file_selector.py', 'projects/example-improve/controller.py', 'gpt_engineer/core/files_dict.py', 'gpt_engineer/core/default/steps.py', 'gpt_engineer/core/chat_to_files.py']"
gpt-engineer,small,15,bf206a5a1abeaa2b274a799e96933869e02d4c0a,2023-12-15,2658,9,multi,1387,Incompatibility with Python 3.8 and 3.9: TypeError in file_store.py,"['gpt_engineer/core/default/file_store.py', 'gpt_engineer/applications/cli/learning.py', 'gpt_engineer/core/default/simple_agent.py', 'gpt_engineer/core/default/disk_execution_env.py', 'gpt_engineer/core/files_dict.py', 'gpt_engineer/core/base_execution_env.py', 'gpt_engineer/applications/cli/cli_agent.py', 'gpt_engineer/core/default/disk_memory.py', 'gpt_engineer/core/base_memory.py']"
gpt-engineer,small,16,7020fea81bef927fe4184e351be12aedf32e7545,2023-10-15,294,1,single,1615,UnicodeDecodeError: 'charmap' codec can't decode byte 0x9d in position 436: character maps to <undefined>,['gpt_engineer/core/chat_to_files.py']
gpt-engineer,small,17,ebfa59e4f462b1503d9706d3282a6b9751b3dcd7,2023-10-05,294,1,single,2945,the code fails after giving additional information at the questions.,['gpt_engineer/core/ai.py']
gpt-engineer,small,18,dc24bb846464f953e8bb2dbcbcb6ad4faaaeff32,2023-10-16,294,2,multi,1181,gpt-engineer doesn't respect the COLLECT_LEARNINGS_OPT_OUT=true env variable,"['gpt_engineer/cli/learning.py', 'gpt_engineer/cli/main.py']"
gpt-engineer,small,19,2058edb3cfb8764cf642d73035af4bb6c783b7e5,2023-09-18,294,3,multi,65,"Make improve flag less intrusive by moving over files like ""all_output.txt"" and ""file_list"" to the .gpteng folder","['gpt_engineer/db.py', 'gpt_engineer/main.py', 'gpt_engineer/steps.py']"
gpt-engineer,small,21,e55f84041c522b03ce09c958deb9822095b3e84e,2024-02-11,2392,1,single,1078,Instructions for running it with local models is lacking.,['gpt_engineer/applications/cli/main.py']
gpt-engineer,small,24,b60185ac6a02c1366324221eb143c9e37a64f1e6,2023-09-16,294,13,multi,649,Separate `core` and `cli` into separate modules (directories) and only allow cli to import from core,"['evals/evals_new_code.py', 'gpt_engineer/learning.py', 'gpt_engineer/db.py', 'evals/evals_existing_code.py', 'gpt_engineer/ai.py', 'gpt_engineer/chat_to_files.py', 'gpt_engineer/main.py', 'scripts/rerun_edited_message_logs.py', 'gpt_engineer/api.py', 'gpt_engineer/steps.py', 'gpt_engineer/domain.py', 'gpt_engineer/collect.py', 'gpt_engineer/file_selector.py']"
gpt-engineer,small,25,ba00896c5673990923abd0e99dba147938871512,2023-06-30,594,3,multi,573,Analysis - Give context of a project to GPT Engineer,"['gpt_engineer/chat_to_files.py', 'gpt_engineer/main.py', 'gpt_engineer/steps.py']"
gpt-engineer,small,26,0596b07a39c2c99c46509c17660f5c8aef4b2114,2023-06-25,594,3,multi,495,"Remove ""run_id"" and ""delete_existing"" options: instead move old memory/workspace folder to ""archive"" by default","['gpt_engineer/db.py', 'gpt_engineer/main.py', 'gpt_engineer/steps.py']"
gpt-engineer,small,27,dc7a2bd0f546ea29929faa57b8e618c413c86bb2,2023-08-20,1587,1,single,2021,"RuntimeError: ('Message exceeds %skb limit. (%s)', AFTER it asks me to run the code",['gpt_engineer/collect.py']
gpt-engineer,small,28,66cd09c789bfcae57e144fcaea86050b97230f18,2023-06-18,329,1,single,332,AttributeError: 'tuple' object has no attribute 'expandtabs',['gpt_engineer/main.py']
gpt-engineer,small,29,6ccd05ab65dcd83d6057c6c068a3f5290ab09176,2023-06-21,382,5,multi,289,GPT4ALL support or open source models,"['gpt_engineer/chat_to_files.py', 'gpt_engineer/ai.py', 'gpt_engineer/main.py', 'scripts/rerun_edited_message_logs.py', 'gpt_engineer/steps.py']"
gpt-engineer,small,30,dc7a2bd0f546ea29929faa57b8e618c413c86bb2,2023-08-20,1587,4,multi,608,Using gpt-engineer with Azure OpenAI,"['gpt_engineer/ai.py', 'gpt_engineer/main.py', 'gpt_engineer/steps.py', 'gpt_engineer/learning.py']"
gpt-engineer,small,31,3e589bf1356024fb471a9d17738e4626f21a953b,2024-06-06,4289,1,single,1520,Add GPTE CLI argument to output system information,['gpt_engineer/applications/cli/main.py']
gpt-engineer,small,32,e7e329211655d08e48d04ce828f929c9108050ad,2023-06-14,162,1,single,803,exporting the api key to the environment doesn't work for me,['ai.py']
gpt-engineer,small,35,dc866c91b9191bce083ec908c5665b7f2f40bd17,2023-06-19,330,1,single,35,gpt 3,['scripts/rerun_edited_message_logs.py']
Deep-Live-Cam,small,0,92a0994f01ec6ae7756951312a70e101fb33c7e5,2024-09-21,1355,1,single,1238,The app starts transparent!,['modules/ui.py']
Deep-Live-Cam,small,1,ed7a21687c4de9f32659c30a17571ce568c30b47,2024-12-23,2345,1,single,2355,Indentation Error,['modules/processors/frame/face_enhancer.py']
Deep-Live-Cam,small,4,69d863b44ab5c7dad6eea04b7e3563f491c714a4,2024-08-16,820,1,single,368,Unable to select camera device through UI,['modules/ui.py']
Deep-Live-Cam,small,5,080d6f5110d2e185e8ce4e10451ac96313079be2,2024-08-13,818,1,single,104,How to select the correct camera?,['modules/ui.py']
Deep-Live-Cam,small,7,6b0cc749574d7307b2f7deedfa2a0dbb363329da,2024-08-10,969,1,single,2029,[experimental] doesn't show the camera I want..,['modules/ui.py']
Deep-Live-Cam,small,8,513e41395687921d589fc10bbaf2f72ed579c84a,2025-02-03,2427,1,single,767,Subject: Missing ui.py file in modules directory - preventing project execution,['modules/ui.py']
Deep-Live-Cam,small,11,eab5ba7027db1a4d0ec97883aa7a61b55fb81dfa,2024-08-15,986,2,multi,2084,Program crashes when processing with DirectML,"['modules/ui.py', 'modules/core.py']"
scrapy,medium,1,2086ff4065a43fa40d909f81e62623e265df5759,2016-11-30,17809,2,multi,3591,Sitemap spider not robust against wrong sitemap URLs in robots.txt,"['scrapy/spiders/sitemap.py', 'scrapy/utils/sitemap.py']"
scrapy,medium,2,e748ca50ca3e83ac703e02538a27236fedd53a7d,2014-07-16,10868,1,single,3053,get_func_args maximum recursion,['scrapy/utils/python.py']
scrapy,medium,3,fe7043a648eac1e0ec0af772a21b283566ecd020,2020-04-16,13985,3,multi,200,Can I get remote server's ip address via response?,"['scrapy/http/response/__init__.py', 'scrapy/core/downloader/handlers/http11.py', 'scrapy/core/downloader/__init__.py']"
scrapy,medium,4,57dc58123b98e2026025cc87bdee474bf0656dcb,2021-12-31,15836,2,multi,650,Fix and document asyncio reactor problems on Windows,"['scrapy/utils/reactor.py', 'tests/CrawlerProcess/asyncio_enabled_reactor.py']"
scrapy,medium,5,2bf09b8a2026b79b11d178d391327035dde9f948,2014-05-07,16641,1,single,150,item_dropped signal should pass response arg as item_scraped does,['scrapy/core/scraper.py']
scrapy,medium,6,c8f3d07e86dd41074971b5423fb932c2eda6db1e,2018-08-07,13168,4,multi,355,Overriding the MailSender class,"['scrapy/extensions/statsmailer.py', 'scrapy/settings/default_settings.py', 'scrapy/extensions/memusage.py', 'scrapy/mail.py']"
scrapy,medium,8,19d0942c74731d797a3590b1d8d46ece5a6d751f,2013-03-04,10654,1,single,675,scrapy selector fails when large lines are present response,['scrapy/utils/url.py']
scrapy,medium,9,b8a43011e75da4353b0d5ef314c96cb1276f12f0,2019-07-19,13479,1,single,1270,[Bug] 1.7.1 not support 1.6.0 script,['scrapy/utils/conf.py']
scrapy,medium,11,da90449edfa13b5be1550b3acc212dbf3a8c6e69,2015-03-18,16818,7,multi,1849,allow spiders to return dicts instead of Items,"['scrapy/core/scraper.py', 'scrapy/commands/parse.py', 'scrapy/contracts/default.py', 'scrapy/contrib/exporter/__init__.py', 'tests/spiders.py', 'scrapy/contrib/pipeline/images.py', 'scrapy/contrib/pipeline/files.py']"
scrapy,medium,12,0dad0fce72266aa7b38b536f87bab26e7f233c74,2021-03-19,15099,1,single,1857,is_generator_with_return_value raises IndentationError with a flush left doc string,['scrapy/utils/misc.py']
scrapy,medium,13,f3372a3753643fea601564c01fcf65cc25a2db62,2020-07-21,13923,1,single,675,List of fields incorrectly accessed for dataclass items,['scrapy/exporters.py']
scrapy,medium,14,bd8c293a97f7f08989cff1db0d9c32f5a2208b77,2016-12-07,12556,1,single,13380,AttributeError: 'FeedExporter' object has no attribute 'slot',['scrapy/spiderloader.py']
scrapy,medium,16,09e56ae43eb63641381e0d722a04536c2fe22c0d,2019-03-14,13261,1,single,491,Document LogFormatter,['scrapy/logformatter.py']
scrapy,medium,17,47b9de93a9c7a514f4007439335facd8ea82a12d,2020-01-30,13950,8,multi,1875,An error occurred while connecting: [Failure instance: Traceback: <class 'ValueError'>: filedescriptor out of range in select(),"['scrapy/utils/reactor.py', 'scrapy/crawler.py', 'scrapy/utils/log.py', 'tests/CrawlerProcess/asyncio_enabled_no_reactor.py', 'scrapy/utils/defer.py', 'scrapy/utils/asyncio.py', 'tests/CrawlerProcess/asyncio_enabled_reactor.py', 'scrapy/settings/default_settings.py']"
scrapy,medium,18,7e8453cf1ec992e5df5cebfeda08552c58e7c9bc,2017-03-03,13166,2,multi,675,sos  filepipelines 302,"['scrapy/pipelines/media.py', 'scrapy/pipelines/files.py']"
scrapy,medium,19,c8f3d07e86dd41074971b5423fb932c2eda6db1e,2018-08-07,13168,1,single,1534,AttributeError from contract errback,['scrapy/contracts/__init__.py']
scrapy,medium,20,b337c986ca1188f4b26d30c9ae4bb7ff457ed505,2023-01-31,17970,1,single,2507,`BaseSettings.setdefault` does nothing,['scrapy/settings/__init__.py']
scrapy,medium,21,794ab19660d369f273abdd5b93721c209f6e4eab,2020-05-09,14099,1,single,931,Fail or warn if from_crawler() returns None,['scrapy/utils/misc.py']
scrapy,medium,22,c9d7386a32aeb4bc7fe9654d194651eee1ede56c,2015-02-25,16810,1,single,1195,Current caching of DjangoItem's instance property is buggy,['scrapy/contrib/djangoitem.py']
scrapy,medium,23,776129a9513e2b6ab6f7e8cda1dd3de66cbbff44,2017-03-21,13260,1,single,490,Image Background converting to green.,['scrapy/pipelines/images.py']
scrapy,medium,25,62a4ede5e995f83abd5a90f7dd6ac242f2f3870d,2020-07-17,13900,3,multi,528,Batch deliveries for long running crawlers,"['scrapy/utils/conf.py', 'scrapy/extensions/feedexport.py', 'scrapy/settings/default_settings.py']"
scrapy,medium,26,016c7e92d1d2893e7a8ce61c7f2e76818e71d019,2021-06-15,15600,1,single,4413,Feeds Enhancement: Item Filters,['scrapy/extensions/feedexport.py']
scrapy,medium,28,3a4d57b3f52633d77291e51f31353fd317034d8c,2015-05-15,17241,1,single,1111,FeedExporters export empty dicts when FEED_EXPORT_FIELDS setting is not set,['scrapy/extensions/feedexport.py']
scrapy,medium,30,0f4b70f5821b4db2882ad4f01d340f62bbb01bf7,2013-06-27,16041,1,single,365,Add support for FTP downloads,['scrapy/settings/default_settings.py']
scrapy,medium,31,c7654f7cb1081f0937f84c1b2ed272318c9c2c6c,2018-08-17,13169,2,multi,627,Exposing downloader stats to custom scheduler,"['scrapy/core/downloader/__init__.py', 'scrapy/signals.py']"
scrapy,medium,33,6e49c379a8ecfe92c99a37b6bb6d7e440df56bd9,2019-04-17,13605,1,single,417,Log with error level instead of debug when reaching max retry times,['scrapy/downloadermiddlewares/retry.py']
scrapy,medium,35,c57512fa669e6f6b1b766a7639206a380f0d10ce,2020-03-04,13957,1,single,814,Offsite middleware ignoring port,['scrapy/spidermiddlewares/offsite.py']
scrapy,medium,36,845c64b89df765ff5c015632c082b6472e61b7d3,2013-05-17,10606,2,multi,548,--output-format raise on invalid format,"['scrapy/commands/crawl.py', 'scrapy/commands/runspider.py']"
scrapy,medium,38,67ab8d4650c1e9212c9508803c7b5265e166cbaa,2024-08-28,21354,1,single,12676,core.engine/Signal handler polluting log,['scrapy/core/engine.py']
scrapy,medium,39,d60b4edd11436e61284615ec7ce89f8ac7e46d9a,2023-03-14,18080,1,single,148,TLS logging broken with new cryptography,['scrapy/utils/ssl.py']
scrapy,medium,42,d43a35735a062a4260b002cfbcd3236c77ef9399,2016-07-08,12464,1,single,565,Extraction of gzipped sitemap fails in Scrapy 0.24.4,['scrapy/utils/gz.py']
scrapy,medium,43,451f1474689a18d6a54630915c42172626624ef7,2017-03-06,13185,1,single,928,Disabling RedirectMiddleware results in HttpCompressionMiddleware errors,['scrapy/downloadermiddlewares/httpcompression.py']
scrapy,medium,44,4626e90df8ba4a945bb9cd6be47a915788e76f23,2020-02-10,13978,1,single,334,Deprecate hacky code from get_project_settings(),['scrapy/utils/project.py']
scrapy,medium,45,c340e72988fc6ec615b7b9851c3d28c16c26a839,2020-10-11,14126,3,multi,4837,CachingHostnameResolver does not work with reactor.resolve(),"['scrapy/resolver.py', 'tests/CrawlerProcess/alternative_name_resolver.py', 'tests/CrawlerProcess/default_name_resolver.py']"
scrapy,medium,47,b0eaf114e5ebe1c5f38a56ed23fcd0515f34d048,2020-02-07,13974,1,single,1817,Exception in LxmLinkExtractor.extract_links 'charmap' codec can't encode character ,['scrapy/linkextractors/lxmlhtml.py']
scrapy,medium,48,69398fa148603a1cf0c84fbe2fd5d59daf9caa0c,2015-09-21,16895,2,multi,174,Set `scrapy shell name.tld` default scheme to http,"['scrapy/commands/shell.py', 'scrapy/utils/url.py']"
scrapy,medium,49,d636e5baa8a077e2869bfe3b76525efec42392ec,2016-09-21,17765,1,single,390,can LinkExtractor extract scrapy.link with node info,['scrapy/http/response/text.py']
scrapy,medium,50,892467cb8a40c54840284a08d0f98ab1b3af7bc4,2020-05-11,14118,1,single,2953,AttributeError: module 'resource' has no attribute 'getrusage',['scrapy/commands/settings.py']
rich,medium,1,2ee992b17ef5ff3c34f89545b0d57ad4690a64fc,2022-07-26,22720,1,single,6298,[BUG] Databricks is not identified as Jupyter,['rich/console.py']
rich,medium,2,b5f0b743a7f50c72199eb792cd6e70730b60651f,2022-04-21,22299,1,single,349,[BUG] printing -\n- in rich.progress context manager will kill the jupyter.,['rich/file_proxy.py']
rich,medium,3,4be4f6bd24d2a35da0e50df943209ad24c068159,2020-10-17,15057,3,multi,463,[REQUEST] minimal table width,"['rich/measure.py', 'rich/console.py', 'rich/table.py']"
rich,medium,4,cefafdc12e0220d139c704522979a0dc9b3f889b,2020-07-26,13319,11,multi,773,[BUG] One trailing newline ignored by rich.print in some cases,"['rich/text.py', 'rich/console.py', 'rich/palette.py', 'rich/__main__.py', 'rich/_palettes.py', 'tests/_card_render.py', 'rich/syntax.py', 'rich/color.py', 'rich/progress.py', 'rich/markdown.py', 'tests/_markdown.py']"
rich,medium,6,42988b834f9c76b63145dd8d8142a94243e71375,2022-10-11,22920,3,multi,1004,Drop Python 3.6 as a supported version of Python,"['rich/highlighter.py', 'rich/rule.py', 'rich/_null_file.py']"
rich,medium,7,c478588f3c228a4e86741a057c42b452d7bc6bce,2024-08-26,23326,1,single,6390,[BUG] Extra Space above Certain Markdown Tables,['rich/markdown.py']
rich,medium,8,9c0f164f8bbb8811f6e3ef8a69ac77c5e4464f36,2022-11-30,22924,1,single,8460,[BUG] rich.live does not redirect stdout with fileno,['rich/file_proxy.py']
