repo,issue_idx,map_condition_raw,map_condition,n_models,models,pooled_mean_delta_f1,pooled_mean_delta_recall,delta_f1_std,max_minus_median_delta_f1,outlier_model,outlier_model_delta_f1,median_delta_f1,n_helped_f1,n_hurt_f1,n_neutral_f1,per_model_delta_f1
localstack,19,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.145,0.0952,0.1741,0.2328,deepseek/deepseek-v4-flash,0.3485,0.1157,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.349; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.231
localstack,2,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1389,0.0833,0.2778,0.5555,deepseek/deepseek-v4-flash,0.5555,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.556; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
scrapy,48,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.125,0.0833,0.1836,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3889,0.0556,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.111; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.389; mistral/ministral-3b-latest=+0.000
scrapy,48,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.125,0.0833,0.2416,0.3611,deepseek/deepseek-v4-flash,0.4445,0.0833,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.111; deepseek/deepseek-v4-flash=+0.444; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.167; mistral/ministral-3b-latest=+0.000
localstack,19,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1227,0.0714,0.1065,0.1296,deepseek/deepseek-v4-flash,0.25,0.1204,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.083; deepseek/deepseek-v4-flash=+0.250; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.157
transformers,5,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1214,0.1,0.3511,0.1753,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.4021,0.2268,3,1,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.370; deepseek/deepseek-v4-flash=+0.343; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.402; mistral/ministral-3b-latest=+0.111
localstack,19,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1187,0.0833,0.1371,0.1249,mistral/ministral-3b-latest,0.2416,0.1167,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.233; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.242
requests,12,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1167,0.1667,0.2082,0.2667,mistral/ministral-3b-latest,0.3667,0.1,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.200; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.100; mistral/ministral-3b-latest=+0.367
pandas,26,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1167,0.0833,0.3449,0.4667,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.5556,0.0889,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.556; deepseek/deepseek-v4-flash=-0.267; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.178; mistral/ministral-3b-latest=+0.000
stable-diffusion-webui,5,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.125,0.24,0.1667,mistral/ministral-3b-latest,0.3333,0.1667,3,1,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=+0.333
yt-dlp,41,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.1667,0.1571,0.2778,deepseek/deepseek-v4-flash,0.3333,0.0556,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.111; mistral/ministral-3b-latest=+0.000
core,16,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.0833,0.1571,0.2778,mistral/ministral-3b-latest,0.3333,0.0555,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
pandas,44,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.0833,0.1361,0.1945,mistral/ministral-3b-latest,0.2778,0.0833,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.167; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.278
core,16,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.0833,0.1571,0.2778,mistral/ministral-3b-latest,0.3333,0.0555,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
localstack,2,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.0833,0.2222,0.4444,deepseek/deepseek-v4-flash,0.4444,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.444; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,10,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1083,0.0833,0.1344,0.2333,mistral/ministral-3b-latest,0.3,0.0667,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.033; deepseek/deepseek-v4-flash=+0.100; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.300
pandas,26,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1028,0.0417,0.4641,0.8278,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.7778,-0.05,2,2,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.778; deepseek/deepseek-v4-flash=-0.267; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.011; mistral/ministral-3b-latest=-0.111
requests,12,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0917,0.1389,0.0739,0.0667,mistral/ministral-3b-latest,0.1667,0.1,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.133; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.067; mistral/ministral-3b-latest=+0.167
rich,12,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0889,0.0625,0.2259,0.3111,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3778,0.0667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.133; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.378; mistral/ministral-3b-latest=-0.156
yt-dlp,45,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.2741,0.3056,mistral/ministral-3b-latest,0.3889,0.0833,2,2,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.222; deepseek/deepseek-v4-flash=+0.222; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.056; mistral/ministral-3b-latest=+0.389
flask,3,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,deepseek/deepseek-v4-flash,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
keras,9,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
stable-diffusion-webui,5,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.125,0.2422,0.0278,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.1944,3,1,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.222; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.278; mistral/ministral-3b-latest=+0.167
thefuck,20,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,mistral/ministral-3b-latest,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
thefuck,5,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
keras,9,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
flask,3,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.4194,0.6667,deepseek/deepseek-v4-flash,0.6667,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.333; deepseek/deepseek-v4-flash=+0.667; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
core,16,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1898,0.2778,mistral/ministral-3b-latest,0.3333,0.0555,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.111; mistral/ministral-3b-latest=+0.333
transformers,5,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0823,0.05,0.2536,0.1951,mistral/ministral-3b-latest,0.3016,0.1065,2,2,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.185; deepseek/deepseek-v4-flash=+0.296; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.083; mistral/ministral-3b-latest=+0.302
gpt-engineer,11,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0694,0.0833,0.1052,0.1944,mistral/ministral-3b-latest,0.2222,0.0278,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.056; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.222
stable-diffusion-webui,13,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0556,0.0833,0.1924,0.3333,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=-0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,5,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0556,0.0833,0.1924,0.3333,mistral/ministral-3b-latest,0.3333,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.111; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
flask,18,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0556,0.0833,0.1434,0.1667,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.0556,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.111; mistral/ministral-3b-latest=+0.111
flask,18,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0555,0.125,0.2127,0.3333,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,-0.0,2,2,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.111; mistral/ministral-3b-latest=-0.111
requests,12,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.05,0.0556,0.1732,0.3,mistral/ministral-3b-latest,0.3,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.100; mistral/ministral-3b-latest=+0.300
rich,12,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0444,0.0208,0.0629,0.1111,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.1333,0.0222,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.044; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.133; mistral/ministral-3b-latest=+0.000
yt-dlp,41,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0444,0.1667,0.2592,0.4,deepseek/deepseek-v4-flash,0.4,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.400; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=+0.000
