model,repo,issue_idx,map_type,rep,n_rejected_submits,refused_well_formed,refused_files,final_files,relation,refused_f1,final_f1,stop_reason,file
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,fastapi,9,all_tools_required,2,1,True,"[""fastapi/routing.py""]","[""fastapi/routing.py""]",identical,0.5,0.5,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/fastapi/9/all_tools_required/rep2.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,flask,3,temporal_frequency_required,1,1,True,"[""src/flask/app.py""]","[""src/flask/app.py""]",identical,1.0,1.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/flask/3/temporal_frequency_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,gpt-engineer,11,temporal_frequency_required,1,1,True,"[""gpt_engineer/core/chat_to_files.py""]","[""gpt_engineer/core/chat_to_files.py"", ""gpt_engineer/core/default/steps.py""]",final_superset,0.0,0.0,submitted,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/gpt-engineer/11/temporal_frequency_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,gpt-engineer,12,temporal_cochange_required,2,1,True,"[""gpt_engineer/core/chat_to_files.py""]","[""gpt_engineer/core/chat_to_files.py""]",identical,0.4,0.4,submitted,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/gpt-engineer/12/temporal_cochange_required/rep2.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,gpt-engineer,12,temporal_frequency_required,1,1,True,"[""gpt_engineer/core/chat_to_files.py""]","[""gpt_engineer/core/chat_to_files.py""]",identical,0.4,0.4,submitted,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/gpt-engineer/12/temporal_frequency_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,gpt-engineer,12,temporal_frequency_required,2,1,True,"[""gpt_engineer/core/chat_to_files.py""]","[""gpt_engineer/core/chat_to_files.py""]",identical,0.4,0.4,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/gpt-engineer/12/temporal_frequency_required/rep2.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,pandas,38,temporal_frequency_required,3,1,True,"[""pandas/core/reshape/pivot.py""]","[""pandas/core/reshape/pivot.py""]",identical,0.6666666666666666,0.6666666666666666,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/pandas/38/temporal_frequency_required/rep3.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,requests,13,temporal_frequency_required,2,1,True,"[""requests/sessions.py""]","[""requests/sessions.py""]",identical,1.0,1.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/requests/13/temporal_frequency_required/rep2.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,scikit-learn,5,temporal_cochange_required,1,1,True,"[""sklearn/decomposition/_pca.py""]","[""sklearn/decomposition/_pca.py""]",identical,1.0,1.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/scikit-learn/5/temporal_cochange_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,scikit-learn,5,temporal_frequency_required,1,1,True,"[""sklearn/decomposition/_pca.py""]","[""sklearn/decomposition/_pca.py""]",identical,1.0,1.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/scikit-learn/5/temporal_frequency_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,stable-diffusion-webui,0,structural_required,1,1,True,"[""modules/styles.py""]","[""modules/styles.py""]",identical,1.0,1.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/stable-diffusion-webui/0/structural_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,thefuck,10,all_tools_required,1,1,True,"[""Thefuck/rules/missing_space_before_subcommand.py""]","[""thefuck/rules/missing_space_before_subcommand.py""]",disjoint,0.0,0.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/thefuck/10/all_tools_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,thefuck,5,structural_required,3,1,True,"[""thefuck/shells.py""]","[""thefuck/shells.py""]",identical,1.0,1.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/thefuck/5/structural_required/rep3.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,yt-dlp,23,temporal_frequency_required,1,1,True,"[""yt_dlp/extractor/sportdeutschland.py""]","[""yt_dlp/extractor/sportdeutschland.py""]",identical,1.0,1.0,end_turn,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/yt-dlp/23/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,core,20,temporal_frequency_required,3,1,False,[],"[""homeassistant/components/notify/html5.py""]",refused_malformed,,1.0,submitted,mistral_ministral-3b-latest/core/20/temporal_frequency_required/rep3.json
mistral/ministral-3b-latest,fastapi,9,temporal_cochange_required,3,1,True,"[""fastapi/routing.py""]","[""fastapi/routing.py""]",identical,0.5,0.5,submitted,mistral_ministral-3b-latest/fastapi/9/temporal_cochange_required/rep3.json
mistral/ministral-3b-latest,flask,3,temporal_frequency_required,2,1,True,"[""src/flask/app.py""]","[""src/flask/app.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/flask/3/temporal_frequency_required/rep2.json
mistral/ministral-3b-latest,flask,6,all_tools_required,2,1,True,"[""src/flask/scaffold.py""]","[""src/flask/scaffold.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/flask/6/all_tools_required/rep2.json
mistral/ministral-3b-latest,gpt-engineer,11,temporal_frequency_required,3,1,True,"[""gpt_engineer/core/chat_to_files.py""]","[""gpt_engineer/core/chat_to_files.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/gpt-engineer/11/temporal_frequency_required/rep3.json
mistral/ministral-3b-latest,gpt-engineer,12,temporal_frequency_required,1,1,True,"[""gpt_engineer/core/chat_to_files.py""]","[""gpt_engineer/core/chat_to_files.py""]",identical,0.4,0.4,submitted,mistral_ministral-3b-latest/gpt-engineer/12/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,gpt-engineer,12,temporal_frequency_required,2,1,False,[],"[""gpt_engineer/core/chat_to_files.py""]",refused_malformed,,0.4,submitted,mistral_ministral-3b-latest/gpt-engineer/12/temporal_frequency_required/rep2.json
mistral/ministral-3b-latest,gpt-engineer,12,temporal_frequency_required,3,1,True,"[""gpt_engineer/core/chat_to_files.py""]","[""gpt_engineer/core/chat_to_files.py""]",identical,0.4,0.4,submitted,mistral_ministral-3b-latest/gpt-engineer/12/temporal_frequency_required/rep3.json
mistral/ministral-3b-latest,gpt-engineer,9,temporal_cochange_required,13,1,True,"[""gpt_engineer/applications/cli/main.py""]","[""gpt_engineer/applications/cli/main.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/gpt-engineer/9/temporal_cochange_required/rep13.json
mistral/ministral-3b-latest,gpt-engineer,9,temporal_frequency_required,11,1,True,"[""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/ai.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/gpt-engineer/9/temporal_frequency_required/rep11.json
mistral/ministral-3b-latest,gpt-engineer,9,temporal_frequency_required,4,1,True,"[""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/ai.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/gpt-engineer/9/temporal_frequency_required/rep4.json
mistral/ministral-3b-latest,localstack,19,all_tools_required,6,1,True,"[""localstack/utils/persistence.py""]","[""localstack/utils/persistence.py""]",identical,0.25,0.25,submitted,mistral_ministral-3b-latest/localstack/19/all_tools_required/rep6.json
mistral/ministral-3b-latest,localstack,19,temporal_cochange_required,2,1,True,"[""doc/roadmap/README.md""]","[""README.md""]",disjoint,0.0,0.0,submitted,mistral_ministral-3b-latest/localstack/19/temporal_cochange_required/rep2.json
mistral/ministral-3b-latest,localstack,9,temporal_frequency_required,1,1,False,[],"[""localstack/services/s3/s3_listener.py""]",refused_malformed,,1.0,submitted,mistral_ministral-3b-latest/localstack/9/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,localstack,9,temporal_frequency_required,3,1,True,"[""localstack/services/s3/s3_listener.py""]","[""localstack/services/s3/s3_listener.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/localstack/9/temporal_frequency_required/rep3.json
mistral/ministral-3b-latest,pandas,35,temporal_cochange_required,3,1,True,"[""pandas/core/internals.py""]","[""pandas/core/generic.py""]",disjoint,0.0,0.0,submitted,mistral_ministral-3b-latest/pandas/35/temporal_cochange_required/rep3.json
mistral/ministral-3b-latest,pandas,38,temporal_cochange_required,2,1,True,"[""pandas/core/reshape/pivot.py""]","[""pandas/core/reshape/pivot.py""]",identical,0.6666666666666666,0.6666666666666666,submitted,mistral_ministral-3b-latest/pandas/38/temporal_cochange_required/rep2.json
mistral/ministral-3b-latest,pandas,38,temporal_cochange_required,3,1,True,"[""pandas/core/reshape/pivot.py""]","[""pandas/core/reshape/pivot.py""]",identical,0.6666666666666666,0.6666666666666666,submitted,mistral_ministral-3b-latest/pandas/38/temporal_cochange_required/rep3.json
mistral/ministral-3b-latest,rich,1,temporal_frequency_required,1,1,True,"[""rich/console.py""]","[""rich/console.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/rich/1/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,rich,12,temporal_cochange_required,1,1,True,"[""rich/markdown.py""]","[""rich/markdown.py""]",identical,0.4,0.4,submitted,mistral_ministral-3b-latest/rich/12/temporal_cochange_required/rep1.json
mistral/ministral-3b-latest,rich,8,temporal_cochange_required,1,1,True,"[""rich/file_proxy.py""]","[""rich/file_proxy.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/rich/8/temporal_cochange_required/rep1.json
mistral/ministral-3b-latest,scikit-learn,45,temporal_cochange_required,3,1,True,"[""sklearn/_min_dependencies.py""]","[""sklearn/_min_dependencies.py""]",identical,0.6666666666666666,0.6666666666666666,submitted,mistral_ministral-3b-latest/scikit-learn/45/temporal_cochange_required/rep3.json
mistral/ministral-3b-latest,scikit-learn,49,temporal_cochange_required,3,1,True,"[""sklearn/linear_model/_coordinate_descent.py""]","[""sklearn/linear_model/_coordinate_descent.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/scikit-learn/49/temporal_cochange_required/rep3.json
mistral/ministral-3b-latest,scrapy,20,temporal_frequency_required,2,1,True,"[""scrapy/settings/__init__.py""]","[""scrapy/settings/__init__.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/scrapy/20/temporal_frequency_required/rep2.json
mistral/ministral-3b-latest,scrapy,26,temporal_cochange_required,3,1,True,"[""scrapy/utils/conf.py"", ""scrapy/extensions/feedexport.py""]","[""scrapy/utils/conf.py"", ""scrapy/extensions/feedexport.py"", ""scrapy/settings/default_settings.py""]",final_superset,0.6666666666666666,0.5,submitted,mistral_ministral-3b-latest/scrapy/26/temporal_cochange_required/rep3.json
mistral/ministral-3b-latest,scrapy,26,temporal_frequency_required,2,1,True,"[""scrapy/feedexporter/itemchecker.py""]",[],final_subset,0.0,0.0,submitted,mistral_ministral-3b-latest/scrapy/26/temporal_frequency_required/rep2.json
mistral/ministral-3b-latest,scrapy,26,temporal_frequency_required,3,1,True,"[""scrapy/extensions/feedexport.py""]","[""scrapy/extensions/feedexport.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/scrapy/26/temporal_frequency_required/rep3.json
mistral/ministral-3b-latest,scrapy,48,temporal_frequency_required,3,1,True,"[""scrapy/shell.py""]","[""scrapy/shell.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/scrapy/48/temporal_frequency_required/rep3.json
mistral/ministral-3b-latest,stable-diffusion-webui,0,structural_required,2,1,True,"[""modules/styles.py""]","[""modules/styles.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/0/structural_required/rep2.json
mistral/ministral-3b-latest,stable-diffusion-webui,0,temporal_cochange_required,2,1,True,"[""modules/styles.py""]","[""modules/styles.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/0/temporal_cochange_required/rep2.json
mistral/ministral-3b-latest,stable-diffusion-webui,0,temporal_cochange_required,3,1,True,"[""modules/styles.py""]","[""modules/styles.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/0/temporal_cochange_required/rep3.json
mistral/ministral-3b-latest,stable-diffusion-webui,0,temporal_frequency_required,1,1,True,"[""modules/styles.py""]","[""modules/styles.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/0/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,stable-diffusion-webui,13,temporal_cochange_required,1,1,False,[],"[""modules/models/diffusion/ddpm_edit.py""]",refused_malformed,,1.0,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/13/temporal_cochange_required/rep1.json
mistral/ministral-3b-latest,stable-diffusion-webui,5,temporal_cochange_required,2,1,True,"[""modules/ui.py"", ""modules/shared_items.py""]","[""modules/ui.py"", ""modules/shared_items.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/5/temporal_cochange_required/rep2.json
mistral/ministral-3b-latest,stable-diffusion-webui,5,temporal_frequency_required,2,1,True,"[""modules/ui_extensions.py""]","[""modules/ui_extensions.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/5/temporal_frequency_required/rep2.json
mistral/ministral-3b-latest,stable-diffusion-webui,5,temporal_frequency_required,3,1,True,"[""modules/ui_extra_networks.py""]","[""modules/ui_extra_networks.py""]",identical,0.6666666666666666,0.6666666666666666,submitted,mistral_ministral-3b-latest/stable-diffusion-webui/5/temporal_frequency_required/rep3.json
mistral/ministral-3b-latest,thefuck,20,all_tools_required,1,1,True,"[""thefuck/entrypoints/not_configured.py""]","[""thefuck/entrypoints/not_configured.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/thefuck/20/all_tools_required/rep1.json
mistral/ministral-3b-latest,thefuck,20,all_tools_required,3,1,True,"[""thefuck/entrypoints/not_configured.py""]","[""thefuck/entrypoints/not_configured.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/thefuck/20/all_tools_required/rep3.json
mistral/ministral-3b-latest,transformers,25,temporal_cochange_required,2,1,True,"[""src/transformers/tokenization_utils_base.py""]","[""src/transformers/tokenization_utils_base.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/transformers/25/temporal_cochange_required/rep2.json
mistral/ministral-3b-latest,transformers,25,temporal_frequency_required,1,1,True,"[""src/transformers/tokenization_utils_base.py""]","[""src/transformers/tokenization_utils_base.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/transformers/25/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,transformers,5,temporal_cochange_required,2,1,True,"[""src/transformers/convert_pytorch_checkpoint_to_tf2.py"", ""src/transformers/modeling_dpr.py"", ""docs/source/model_doc/dpr.rst""]","[""src/transformers/convert_pytorch_checkpoint_to_tf2.py"", ""src/transformers/modeling_dpr.py"", ""docs/source/model_doc/dpr.rst""]",identical,0.25,0.25,submitted,mistral_ministral-3b-latest/transformers/5/temporal_cochange_required/rep2.json
mistral/ministral-3b-latest,transformers,5,temporal_frequency_required,1,1,True,"[""src/transformers/modeling_tf/__init__.py"", ""src/transformers/modeling_tf/dummy_tf_objects.py"", ""src/transformers/modeling_tf/modeling_tf_dpr.py"", ""src/transformers/convert_pytorch_checkpoint_to_tf2.py""]","[""src/transformers/modeling_tf/modeling_tf_dpr.py""]",final_subset,0.22222222222222224,0.0,submitted,mistral_ministral-3b-latest/transformers/5/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,yt-dlp,23,temporal_cochange_required,1,1,True,"[""yt_dlp/extractor/sportdeutschland.py""]","[""yt_dlp/extractor/sportdeutschland.py""]",identical,1.0,1.0,submitted,mistral_ministral-3b-latest/yt-dlp/23/temporal_cochange_required/rep1.json
mistral/ministral-3b-latest,yt-dlp,41,temporal_frequency_required,1,1,True,"[""yt_dlp/YoutubeDL.py""]","[""yt_dlp/YoutubeDL.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/yt-dlp/41/temporal_frequency_required/rep1.json
mistral/ministral-3b-latest,yt-dlp,41,temporal_frequency_required,2,1,True,"[""yt_dlp/extractor/common.py""]","[""yt_dlp/extractor/common.py""]",identical,0.0,0.0,submitted,mistral_ministral-3b-latest/yt-dlp/41/temporal_frequency_required/rep2.json
